file,split,regime,samples,scene_time_groups,scenes,artifact_fraction,negative_deployable_fraction,oracle_gap_positive_mean,incompatible_alias_pair_fraction,waymax_runtime_fraction,supports_waymax_runtime_claim,supports_womd_primary_claim,supports_calibration_protocol,warning_count,warning_summary
calibration_contact.json,calibration,contact,16843,1896,543,0.21207623345009796,0.416909101703972,0.28787136647675426,0.14227762481463715,1.0,True,False,True,2,regime count == 0: normal | test split is empty; final held-out claims cannot be evaluated
calibration_near_contact.json,calibration,near_contact,6039,765,316,0.2399403874813711,0.4482530220235138,0.4064292166850743,0.19569132261722136,1.0,True,False,True,3,regime count == 0: normal | regime count == 0: post_contact | test split is empty; final held-out claims cannot be evaluated
calibration_safe.json,calibration,safe,2544,318,135,0.0,0.05345911949685535,0.0,0.0,1.0,True,False,True,5,regime count == 0: low_headroom | regime count == 0: near_contact | regime count == 0: oracle_artifact | regime count == 0: post_contact | test split is empty; final held-out claims cannot be evaluated
test_contact.json,test,contact,6687,747,209,0.2180349932705249,0.4439958127710483,0.2978736386081419,0.1405349555492936,1.0,True,False,False,2,calibration split is empty; calibrated gamma_rec cannot be estimated | regime count == 0: normal
test_near_contact.json,test,near_contact,4723,595,250,0.24412449714164725,0.48803726445056106,0.4220099603004395,0.20923013744957364,1.0,True,False,False,3,calibration split is empty; calibrated gamma_rec cannot be estimated | regime count == 0: normal | regime count == 0: post_contact
test_safe.json,test,safe,3216,402,175,0.0,0.06902985074626866,0.0,0.0,1.0,True,False,False,3221,calibration split is empty; calibrated gamma_rec cannot be estimated | missing one of replay/reactive/targeted futures in waymax_0057be5ad47ccb18__wx00010735_t0010_a00.npz | missing one of replay/reactive/targeted futures in waymax_0057be5ad47ccb18__wx00010735_t0010_a01.npz | missing one of replay/reactive/targeted futures in waymax_0057be5ad47ccb18__wx00010735_t0010_a02.npz | missing one of replay/reactive/targeted futures in waymax_0057be5ad47ccb18__wx00010735_t0010_a03.npz | missing one of replay/reactive/targeted futures in waymax_0057be5ad47ccb18__wx00010735_t0010_a04.npz | missing one of replay/reactive/targeted futures in waymax_0057be5ad47ccb18__wx00010735_t0010_a05.npz | missing one of replay/reactive/targeted futures in waymax_0057be5ad47ccb18__wx00010735_t0010_a06.npz | ... 3213 more
train_contact.json,train,contact,16790,2000,500,0.16617033948779036,0.5434782608695652,0.22787582047578928,0.09475940342265705,1.0,True,False,False,3,calibration split is empty; calibrated gamma_rec cannot be estimated | regime count == 0: normal | test split is empty; final held-out claims cannot be evaluated
train_near_contact.json,train,near_contact,13324,1800,600,0.18943260282197538,0.5531371960372261,0.32558331928232415,0.16146350800754725,1.0,True,False,False,3,calibration split is empty; calibrated gamma_rec cannot be estimated | regime count == 0: normal | test split is empty; final held-out claims cannot be evaluated
train_safe.json,train,safe,20000,2500,1171,0.0,0.09885,0.0,0.0,1.0,True,False,False,20006,calibration split is empty; calibrated gamma_rec cannot be estimated | missing one of replay/reactive/targeted futures in waymax_006616448b82c815__wx00004157_t0015_a00.npz | missing one of replay/reactive/targeted futures in waymax_006616448b82c815__wx00004157_t0015_a01.npz | missing one of replay/reactive/targeted futures in waymax_006616448b82c815__wx00004157_t0015_a02.npz | missing one of replay/reactive/targeted futures in waymax_006616448b82c815__wx00004157_t0015_a03.npz | missing one of replay/reactive/targeted futures in waymax_006616448b82c815__wx00004157_t0015_a04.npz | missing one of replay/reactive/targeted futures in waymax_006616448b82c815__wx00004157_t0015_a05.npz | missing one of replay/reactive/targeted futures in waymax_006616448b82c815__wx00004157_t0015_a06.npz | ... 19998 more
val_contact.json,val,contact,6477,723,211,0.21861973135710977,0.46147907982090475,0.3022983287580661,0.13538516074808035,1.0,True,False,False,3,calibration split is empty; calibrated gamma_rec cannot be estimated | regime count == 0: normal | test split is empty; final held-out claims cannot be evaluated
val_near_contact.json,val,near_contact,3445,433,176,0.2458635703918723,0.5042089985486212,0.4144058297092233,0.20385424082382742,1.0,True,False,False,4,calibration split is empty; calibrated gamma_rec cannot be estimated | regime count == 0: normal | regime count == 0: post_contact | test split is empty; final held-out claims cannot be evaluated
val_safe.json,val,safe,2328,291,132,0.0,0.07345360824742268,0.0,0.0,1.0,True,False,False,2335,calibration split is empty; calibrated gamma_rec cannot be estimated | missing one of replay/reactive/targeted futures in waymax_00f2ecd1be3e67a5__wx00005040_t0010_a00.npz | missing one of replay/reactive/targeted futures in waymax_00f2ecd1be3e67a5__wx00005040_t0010_a01.npz | missing one of replay/reactive/targeted futures in waymax_00f2ecd1be3e67a5__wx00005040_t0010_a02.npz | missing one of replay/reactive/targeted futures in waymax_00f2ecd1be3e67a5__wx00005040_t0010_a03.npz | missing one of replay/reactive/targeted futures in waymax_00f2ecd1be3e67a5__wx00005040_t0010_a04.npz | missing one of replay/reactive/targeted futures in waymax_00f2ecd1be3e67a5__wx00005040_t0010_a05.npz | missing one of replay/reactive/targeted futures in waymax_00f2ecd1be3e67a5__wx00005040_t0010_a06.npz | ... 2327 more
traincontact.json,train,contact_legacy_alias,16306,1943,486,0.16588985649454188,0.5429289831963694,0.22773407736903625,0.09451261357709517,1.0,True,False,False,1,LEGACY ALIAS: samples=16306 differs from canonical train_contact samples=16790; never select this path
